Date : 2026-08-03 15:25:38
Directory : /Users/so.shah/Documents/centralized-notifications-test
Total : 426 files,  50457 codes, 2112 comments, 9805 blanks, all 62374 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/test/setup.ts                                           | TypeScript         |          2 |          2 |          1 |          5 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/test/sse.route.test.ts                                  | TypeScript         |        124 |          5 |         17 |        146 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/test/summary.route.test.ts                              | TypeScript         |        148 |          6 |         15 |        169 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/tsconfig.json                                           | JSON with Comments |         10 |          0 |          1 |         11 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/tsup.config.ts                                          | TypeScript         |          8 |          1 |          2 |         11 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/server-fastify/vitest.config.ts                                        | TypeScript         |          8 |          1 |          2 |         11 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/shared/package.json                                                    | JSON               |         32 |          0 |          1 |         33 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/shared/src/index.ts                                                    | TypeScript         |          3 |         12 |          3 |         18 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/shared/src/notification.spec.ts                                        | TypeScript         |         96 |          9 |         10 |        115 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/shared/src/notification.ts                                             | TypeScript         |        142 |        103 |         23 |        268 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/shared/src/preferences.spec.ts                                         | TypeScript         |         59 |          0 |          8 |         67 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/shared/src/preferences.ts                                              | TypeScript         |         43 |         24 |         10 |         77 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/shared/test/notification.test.ts                                       | TypeScript         |        199 |          3 |         29 |        231 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/shared/tsconfig.json                                                   | JSON with Comments |         12 |          0 |          1 |         13 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/env.d.ts                                                           | TypeScript         |          5 |          1 |          1 |          7 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/package.json                                                       | JSON               |         56 |          0 |          1 |         57 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/admin/DevLabsPanel.vue                                         | Vue                |         14 |          0 |          3 |         17 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/admin/FeaturesPanel.spec.ts                                    | TypeScript         |         70 |          0 |         10 |         80 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/admin/FeaturesPanel.vue                                        | Vue                |         66 |          0 |          9 |         75 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/admin/MaintenancePanel.spec.ts                                 | TypeScript         |         69 |          0 |          8 |         77 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/admin/MaintenancePanel.vue                                     | Vue                |        215 |          5 |         14 |        234 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/admin/ModulesPanel.spec.ts                                     | TypeScript         |        150 |          4 |         16 |        170 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/admin/ModulesPanel.vue                                         | Vue                |        242 |          3 |         19 |        264 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/admin/NotificationAdmin.vue                                    | Vue                |         63 |          1 |          3 |         67 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/admin/adminApi.ts                                              | TypeScript         |         43 |          3 |          5 |         51 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/CriticalToast.spec.ts                               | TypeScript         |         62 |          0 |         10 |         72 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/CriticalToast.vue                                   | Vue                |         96 |          1 |          5 |        102 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/CriticalToastViewport.spec.ts                       | TypeScript         |         59 |          0 |          9 |         68 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/CriticalToastViewport.vue                           | Vue                |         57 |          0 |          5 |         62 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/NotificationBell.spec.ts                            | TypeScript         |         83 |          4 |         12 |         99 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/NotificationBell.vue                                | Vue                |         75 |          0 |          9 |         84 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/NotificationPopover.spec.ts                         | TypeScript         |         71 |          7 |         15 |         93 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/NotificationPopover.vue                             | Vue                |        113 |          2 |          9 |        124 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/components/FeedList.spec.ts                         | TypeScript         |         89 |          4 |          9 |        102 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/components/FeedList.vue                             | Vue                |        112 |          0 |          8 |        120 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/components/FilterMenu.spec.ts                       | TypeScript         |         31 |          2 |          4 |         37 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/components/FilterMenu.vue                           | Vue                |        217 |          0 |         21 |        238 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/panel/AssistantTab.spec.ts                          | TypeScript         |        112 |          3 |         12 |        127 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/panel/AssistantTab.vue                              | Vue                |        150 |          5 |         15 |        170 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/panel/CitationChip.spec.ts                          | TypeScript         |         76 |          3 |         10 |         89 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/panel/CitationChip.vue                              | Vue                |         74 |          0 |          5 |         79 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/panel/InboxTab.spec.ts                              | TypeScript         |        271 |          6 |         27 |        304 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/panel/InboxTab.vue                                  | Vue                |        302 |          6 |         22 |        330 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/panel/MarkdownMessage.spec.ts                       | TypeScript         |         58 |          3 |          8 |         69 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/panel/MarkdownMessage.ts                            | TypeScript         |        179 |         15 |         11 |        205 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/preferences/MuteRulesEditor.spec.ts                 | TypeScript         |         70 |          0 |         11 |         81 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/preferences/MuteRulesEditor.vue                     | Vue                |        187 |          7 |         11 |        205 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/renderers/NotificationCardRenderer.spec.ts          | TypeScript         |        289 |          4 |         31 |        324 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/components/renderers/NotificationCardRenderer.vue              | Vue                |        180 |          2 |         12 |        194 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/design/icons.ts                                                | TypeScript         |         12 |          6 |          3 |         21 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/design/tokens.ts                                               | TypeScript         |         25 |         10 |          6 |         41 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/forms/FormRenderer.spec.ts                                     | TypeScript         |         68 |          3 |          8 |         79 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/forms/FormRenderer.vue                                         | Vue                |        126 |          2 |         10 |        138 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/forms/features.form.ts                                         | TypeScript         |         45 |          2 |          2 |         49 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/forms/fields/SelectField.spec.ts                               | TypeScript         |         23 |          0 |          4 |         27 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/forms/fields/SelectField.vue                                   | Vue                |         41 |          0 |          6 |         47 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/forms/fields/SwitchField.vue                                   | Vue                |         35 |          0 |          4 |         39 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/forms/fields/TextField.vue                                     | Vue                |         70 |          0 |          8 |         78 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/forms/preferences.form.ts                                      | TypeScript         |         35 |          3 |          2 |         40 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/forms/types.ts                                                 | TypeScript         |         30 |         13 |          5 |         48 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/forms/validation.spec.ts                                       | TypeScript         |         17 |          0 |          4 |         21 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/forms/validation.ts                                            | TypeScript         |         44 |          6 |          6 |         56 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/index.ts                                                       | TypeScript         |         35 |          6 |          5 |         46 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/lib/cn.ts                                                      | TypeScript         |          5 |          1 |          2 |          8 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/lib/time.ts                                                    | TypeScript         |         17 |          6 |          2 |         25 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/preferences/snooze.spec.ts                                     | TypeScript         |         57 |          3 |         12 |         72 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/preferences/snooze.ts                                          | TypeScript         |         69 |         12 |          8 |         89 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/provider/NotificationProvider.spec.ts                          | TypeScript         |         23 |          0 |          4 |         27 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/provider/NotificationProvider.vue                              | Vue                |         67 |          0 |          7 |         74 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/provider/context.spec.ts                                       | TypeScript         |         30 |          0 |          4 |         34 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/provider/context.ts                                            | TypeScript         |         49 |          4 |          7 |         60 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/actions.spec.ts                                          | TypeScript         |        214 |          1 |         15 |        230 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/actions.ts                                               | TypeScript         |         74 |         27 |         11 |        112 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/chat.spec.ts                                             | TypeScript         |         94 |          2 |          8 |        104 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/chat.ts                                                  | TypeScript         |         74 |          8 |          9 |         91 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/feed.spec.ts                                             | TypeScript         |        470 |         18 |         87 |        575 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/feed.ts                                                  | TypeScript         |        372 |        118 |         45 |        535 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/panel.spec.ts                                            | TypeScript         |         14 |          0 |          2 |         16 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/panel.ts                                                 | TypeScript         |         15 |          5 |          3 |         23 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/preferences.spec.ts                                      | TypeScript         |         78 |          2 |         10 |         90 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/preferences.ts                                           | TypeScript         |         84 |         11 |         12 |        107 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/settings.spec.ts                                         | TypeScript         |         38 |          0 |          5 |         43 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/settings.ts                                              | TypeScript         |         31 |          5 |          6 |         42 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/summary.spec.ts                                          | TypeScript         |         51 |          0 |          6 |         57 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/summary.ts                                               | TypeScript         |         72 |          6 |          8 |         86 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/toast.spec.ts                                            | TypeScript         |         82 |          1 |         11 |         94 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/state/toast.ts                                                 | TypeScript         |         63 |          9 |         12 |         84 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/styles/lib.css                                                 | PostCSS            |        238 |         22 |         19 |        279 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/styles/presets/dark.css                                        | PostCSS            |         10 |          2 |          1 |         13 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/styles/presets/vuetify.css                                     | PostCSS            |         11 |          3 |          1 |         15 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/test-setup.ts                                                  | TypeScript         |         11 |          3 |          2 |         16 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/test-support/feedItem.ts                                       | TypeScript         |         14 |          1 |          2 |         17 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/test/provider-harness.ts                                       | TypeScript         |         58 |          7 |          4 |         69 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/transport/cookie-transport.spec.ts                             | TypeScript         |         48 |          0 |          6 |         54 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/transport/cookie-transport.ts                                  | TypeScript         |         39 |          7 |          3 |         49 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/transport/sse.spec.ts                                          | TypeScript         |         51 |          0 |          5 |         56 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/transport/sse.ts                                               | TypeScript         |         33 |         12 |          6 |         51 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/transport/types.ts                                             | TypeScript         |         15 |          3 |          4 |         22 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/ui/Button.vue                                                  | Vue                |         38 |          0 |          5 |         43 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/ui/Chip.vue                                                    | Vue                |         17 |          0 |          3 |         20 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/ui/Icon.vue                                                    | Vue                |         10 |          0 |          3 |         13 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/ui/Skeleton.vue                                                | Vue                |          7 |          0 |          2 |          9 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/ui/Spinner.vue                                                 | Vue                |         18 |          0 |          2 |         20 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/src/ui/StatePanel.vue                                              | Vue                |         17 |          0 |          3 |         20 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/tsconfig.build.json                                                | JSON               |          9 |          0 |          1 |         10 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/tsconfig.json                                                      | JSON with Comments |         10 |          0 |          1 |         11 |
| /Users/so.shah/Documents/centralized-notifications-test/packages/vue/vite.config.ts                                                     | TypeScript         |         19 |          0 |          2 |         21 |
| /Users/so.shah/Documents/centralized-notifications-test/pnpm-lock.yaml                                                                  | YAML               |      4,591 |          0 |      1,263 |      5,854 |
| /Users/so.shah/Documents/centralized-notifications-test/pnpm-workspace.yaml                                                             | YAML               |          4 |          0 |          1 |          5 |
| /Users/so.shah/Documents/centralized-notifications-test/skills-lock.json                                                                | JSON               |         17 |          0 |          1 |         18 |
| /Users/so.shah/Documents/centralized-notifications-test/tsconfig.base.json                                                              | JSON               |         22 |          0 |          2 |         24 |
| Total                                                                                                                                   |                    |     50,457 |      2,112 |      9,805 |     62,374 |
+-----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
